FILE NAME,THETA_X,THETA_Y,EXPECTED_Y,THETA_Z,HEAD_CENTER_X,HEAD_CENTER_Y,HEAD_CENTER_Z
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.N/DP_5_3.raw,3.59471,12.1783,5.32174,-1.66116,34.1966,-45.7754,719.516
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.N/DP_6_1.raw,4.79986,12.7517,12.7483,-2.67642,32.4539,-45.0772,720.178
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.N/DP_6_2.raw,3.92027,13.3564,12.1436,-2.63118,30.3962,-43.3245,717.863
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.N/DP_6_3.raw,5.05656,13.6165,11.8835,-2.86325,29.8438,-43.9422,718.818
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.N/DP_7_1.raw,3.77668,12.9766,-3.47657,-2.64532,30.572,-45.385,718.283
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.N/DP_7_2.raw,6.21296,14.4046,-4.90456,-3.40422,28.8565,-44.6071,719.979
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.N/DP_7_3.raw,5.13372,10.3749,-0.874908,-2.29657,30.6633,-45.4477,718.697
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.N/DP_8_1.raw,3.66206,11.8932,-2.39318,-1.66419,29.4098,-45.0466,718.959
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.N/DP_8_2.raw,4.16343,9.30389,0.196109,-1.40173,28.9383,-45.5441,717.015
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.N/DP_8_3.raw,5.72614,12.6587,-3.15868,-2.49221,28.965,-41.2782,718.338
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.N/DP_9_1.raw,4.46908,11.3134,14.1866,-2.16539,29.7912,-44.5692,716.629
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.N/DP_9_2.raw,6.58082,10.6482,14.8518,-2.35389,32.4252,-40.2343,716.373
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.N/DP_9_3.raw,4.72405,11.1122,14.3878,-1.98527,30.0702,-43.3718,715.514
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_1_1.raw,1.73497,13.057,20.943,-1.43564,38.3945,-44.9954,714.281
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_1_2.raw,1.84954,25.9882,8.01183,-1.74347,19.8973,-42.4156,720.79
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_1_3.raw,4.54771,27.1768,6.8232,-2.91796,19.4679,-38.4131,720.303
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_2_1.raw,4.24459,22.9568,-20.4568,-2.38498,22.7817,-39.665,718.296
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_2_2.raw,6.45065,3.40054,-0.900545,-0.526202,48.9445,-45.9228,707.519
